name	ten
mom	me
dad	bo
parent	bo me noi chung
book	sach
film	phim
chicken	thit ga
bedroom	phong ngu
hotel	khach san
game	tro choi
game	giai tri
game	chuong trinh truyen hinh
game	dien tu
ball	bong
sex	gioi tinh
house	nha
hello	xin chao
fuckyou	dmm
laughmyassout	cuoi cai dmm
project	du an
quantity	so luong
ass	hau mon
translate	phien dich
transport	phuong tien giao thong
transform	chuyen doi
asshole	lo hau mon
hell	dia nguc
head	dau
fill	lam day
double	gap doi
full	day
push	day
file	tai lieu
document	tai lieu
police	canh sat
guard	ve si
bag	tui
bay	vinh
clock	dong ho
city	thanh pho
country	dat nuoc
province	tinh
provide	cung cap
product	san xuat
production	san pham
professor	giao su
profession	chuyen nghiep
profile	ho so
process	qua trinh
probably	co le
property	cau hinh
proof	bang chung
pronoun	phat am
prohibit	cam
problem	van de
